,Artist_Name,Track_Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,time_signature,Genre,duration_in_min
3878,Ryskinder,Oi,17.0,0.699,0.545,-10.316,1,0.175,0.165,0.0906,0.703,88.744,4.0,6.0,4.555833333333333
3879,Keith Whitley,When You Say Nothing at All,53.0,0.673,0.346,-12.803,1,0.0245,0.721,0.0475,0.396,80.012,4.0,4.0,3.708216667
3880,The Beaches,Want What You Got,46.0,0.774,0.714,-5.009,0,0.0427,0.00388,0.045,0.811,111.964,4.0,10.0,4.46755
3881,Bauhaus,Bela Lugosi's Dead (Official Version),54.0,0.593,0.691,-9.442,0,0.113,0.0133,0.0691,0.532,153.486,4.0,6.0,9.611716666666666
3882,Tom Robinson Band,2-4-6-8 Motorway,53.0,0.672,0.706,-5.551,1,0.0779,0.0578,0.0595,0.658,124.782,4.0,6.0,3.2988833333333334
3883,The Graham Bond Organisation,Harmonica,37.0,0.583,0.94,-10.566,1,0.0928,0.633,0.342,0.662,130.221,4.0,2.0,2.83085
3884,Pain,Shut Your Mouth,58.0,0.562,0.912,-4.461,1,0.0383,0.0032,0.115,0.55,120.021,4.0,8.0,3.21645
3885,Skeets McDonald,You Oughta See Grandma Rock,22.0,0.463,0.867,-7.458,1,0.0678,0.487,0.841,0.869,90.026,4.0,10.0,2.0573333333333332
3886,Wayne Hancock,Flat Land Boogie,31.0,0.605,0.514,-14.208,1,0.0535,0.147,0.079,0.781,98.797,4.0,10.0,3.4928833333333333
3887,Biffy Clyro,Machines,45.0,0.644,0.337,-10.906,1,0.0295,0.606,0.301,0.31,108.041,4.0,10.0,3.9346666666666668
3888,Eric Church,Bunch Of Nothing,60.0,0.513,0.889,-4.924,1,0.0599,0.457,0.217,0.791,171.917,4.0,1.0,3.4902166666666665
3889,Moonlight Haze,The Rabbit of the Moon,34.0,0.458,0.966,-6.52,1,0.0622,0.0112,0.348,0.609,74.995,4.0,8.0,3.8602166666666666
3890,Kishore Kumar,Manzilen Apni Jagah Hai,26.0,0.263,0.429,-8.279,1,0.0329,0.962,0.168,0.294,150.104,3.0,3.0,5.876583333
3891,Brian World,Sitar Fusion,12.0,0.583,0.405,-9.74,0,0.0267,0.495,0.0782,0.323,76.078,4.0,0.0,4.10645
3892,Pineapple Express,Relentless,19.0,0.313,0.913,-5.227,0,0.201,0.0663,0.457,0.466,180.133,4.0,0.0,4.30435
3893,Me And That Man,My Church Is Black,40.0,0.38,0.843,-2.939,0,0.0346,0.0279,0.113,0.306,106.149,4.0,10.0,2.9831166666666666
3894,Liquid Tension Experiment,Paradigm Shift,43.0,0.295,0.914,-3.411,1,0.0526,0.000326,0.399,0.654,137.44,4.0,8.0,8.922666666666666
3895,Franc Moody,Tired of Waiting,50.0,0.776,0.844,-7.092,0,0.0438,0.00395,0.0963,0.938,124.988,4.0,6.0,4.4116
3896,Edwyn Collins,A Girl Like You,64.0,0.619,0.781,-7.455,0,0.0393,0.0243,0.402,0.533,126.267,4.0,1.0,3.94305
3897,Frisco,Frisco's Pattern,34.0,0.744,0.612,-10.158,1,0.362,0.157,0.199,0.701,138.296,4.0,5.0,0.9565166666666667
3898,Fall Out Boy,Fourth Of July,59.0,0.481,0.974,-3.388,0,0.136,0.139,0.406,0.516,79.964,4.0,10.0,3.739333333333333
3899,"Anuradha Paudwal, Kumar Sanu",Pehli Baarish Main Aur Tu,24.0,0.495,0.671,-9.58,0,0.0423,0.72,0.106,0.757,82.005,4.0,3.0,4.87155
3900,Siiickbrain,Power (feat. Pussy Riot),47.0,0.474,0.962,-4.074,1,0.259,0.000433,0.0782,0.45,165.097,3.0,10.0,2.933333333333333
3901,The Smashing Pumpkins,Spaceboy - Remastered,42.0,0.363,0.32,-11.539,1,0.0384,0.0136,0.105,0.207,121.428,4.0,10.0,4.455116666666667
3902,BLAB,Casual Sex,26.0,0.709,0.685,-7.573,1,0.0281,0.0355,0.0389,0.7,129.987,4.0,10.0,3.242783333333333
3903,IDK,King Alfred,45.0,0.836,0.573,-6.526,0,0.231,0.0202,0.0849,0.399,145.93,4.0,5.0,2.62455
3904,Rude Kid,Bloody Hell,12.0,0.652,0.764,-5.177,0,0.0337,1.99e-05,0.13,0.0479,140.044,4.0,5.0,3.5143666666666666
3905,Javi That's Me,CHERRY BLOSSOMS,37.0,0.595,0.767,-13.412,0,0.678,0.109,0.505,0.774,108.047,4.0,6.0,2.483816666666667
3906,Built To Spill,Carry the Zero,57.0,0.264,0.812,-5.651,1,0.031,1.35e-05,0.0962,0.458,94.095,4.0,6.0,5.73155
3907,Richie Havens,Here Comes The Sun,56.0,0.698,0.643,-16.985,1,0.0649,0.803,0.704,0.714,128.22,4.0,0.0,4.23333333
3908,Townes Van Zandt,Lungs,50.0,0.544,0.34,-13.947,1,0.0411,0.785,0.734,0.556,97.005,4.0,2.0,2.5697833333333335
3909,King Nun,Chinese Medicine,29.0,0.481,0.938,-3.116,0,0.14,0.000116,0.0835,0.608,162.971,4.0,1.0,2.7502333333333335
3910,Adia Victoria,Dead Eyes,28.0,0.28,0.635,-8.271,1,0.056,0.0685,0.107,0.375,193.756,4.0,2.0,2.3633333333333333
3911,Dexter Gordon,Le Coiffeur,42.0,0.686,0.372,-12.663,1,0.0356,0.78,0.101,0.536,118.562,4.0,7.0,7.04
3912,Buddy Guy,Damn Right I've Got The Blues - Live,31.0,0.348,0.587,-10.04,0,0.12,0.0209,0.486,0.557,102.043,4.0,2.0,7.692216666666667
3913,Night Ranger,Sister Christian,64.0,0.448,0.35,-16.239,1,0.0393,0.147,0.0842,0.234,177.279,4.0,10.0,5.048883333333333
3914,Fitz and The Tantrums,The Walker,19.0,0.792,0.649,-4.55,1,0.045,0.00663,0.334,0.763,130.019,4.0,9.0,4.0548166666666665
3915,maye,Yours,64.0,0.67,0.707,-9.726,0,0.0358,0.714,0.0634,0.799,89.008,4.0,1.0,3.68145
3916,Lifehouse,You And Me,76.0,0.459,0.427,-7.734,1,0.0267,0.114,0.168,0.354,139.902,3.0,10.0,3.2582166666666668
3917,Danheim,Reida,44.0,0.694,0.647,-12.731,1,0.311,0.268,0.943,0.308,109.99,4.0,8.0,4.5125
3918,"Kishore Kumar, Asha Bhosle",Aaj Rapat Jaayen To,38.0,0.486,0.481,-9.418,1,0.0937,0.779,0.0838,0.674,104.529,4.0,3.0,6.79955
3919,Friedberg,Midi 8,28.0,0.733,0.944,-5.059,0,0.064,0.0017,0.097,0.718,104.005,4.0,1.0,2.3843833333333335
3920,The Sound,Winning,47.0,0.426,0.721,-9.391,0,0.0309,2.73e-05,0.0867,0.248,151.13,4.0,1.0,4.301333333333333
3921,"Niladri Kumar, Talvin Singh",River,6.0,0.515,0.894,-6.396,0,0.132,0.169,0.037,0.406,175.942,4.0,0.0,5.930383333
3922,Sycco,Germs,45.0,0.656,0.763,-5.946,0,0.0845,0.102,0.0373,0.903,144.952,4.0,6.0,3.8662
3923,Hemant Kumar,Hai Apna Dil To Aawara - Happy Version,36.0,0.604,0.469,-10.606,1,0.0571,0.572,0.59,0.934,110.447,4.0,3.0,4.363783333
3924,Meadow Park,When I Fall In Love,55.0,0.424,0.103,-18.281,1,0.0417,0.937,0.114,0.135,104.45,4.0,7.0,4.832416667
3925,Johnny Rodriguez,Pass Me By,38.0,0.661,0.4,-6.499,1,0.0245,0.678,0.0697,0.397,101.025,4.0,4.0,2.629116667
3926,jxdn,So What!,67.0,0.598,0.662,-5.797,1,0.048,0.00301,0.0812,0.531,174.937,4.0,10.0,2.35345
3927,Lizz Wright,Singing In My Soul,34.0,0.579,0.678,-7.031,1,0.0834,0.134,0.219,0.811,140.793,4.0,2.0,3.782216666666667
3928,Hailey Whitters,Glad To Be Here (feat. Brent Cobb),48.0,0.632,0.673,-6.525,1,0.0418,0.0476,0.107,0.623,88.99,4.0,1.0,4.558966666666667
3929,Aria Ohlsson,Love on the Weekend,54.0,0.672,0.431,-8.164,0,0.106,0.556,0.0969,0.284,82.99,4.0,9.0,2.5542166666666666
3930,Hariharan,Yeh Lamhe Yeh Pal,32.0,0.573,0.435,-14.986,1,0.0314,0.678,0.0465,0.745,127.239,4.0,3.0,3.557783333
3931,Darius Rucker,Alright,70.0,0.601,0.806,-4.579,1,0.0345,0.0527,0.185,0.711,89.87,4.0,4.0,3.865333333
3932,Asha Bhosle,Aage Bhi Jane Na Tu,25.0,0.506,0.276,-6.934,1,0.0278,0.98,0.0807,0.539,76.136,4.0,3.0,7.417133333
3933,Opeth,Heart in Hand,43.0,0.457,0.911,-6.835,1,0.0956,0.00011,0.339,0.205,120.016,4.0,8.0,8.493333333333334
3934,JOELMY,Porque Te Vas,34.0,0.822,0.704,-6.423,0,0.0675,0.0909,0.22,0.529,90.049,4.0,9.0,3.211116666666667
3935,Greyhaven,Echo and Dust Pt. I,43.0,0.261,0.992,-2.653,1,0.32,0.000101,0.679,0.204,138.443,4.0,8.0,4.255766666666666
3936,Tai Verdes,A-O-K,71.0,0.731,0.626,-6.919,1,0.0805,0.125,0.183,0.862,82.488,4.0,9.0,2.894
3937,The Word Alive,Heartless,40.0,0.396,0.92,-4.749,1,0.068,0.000816,0.229,0.243,174.995,4.0,8.0,4.0
3938,The Kinks,Apeman - 2014 Remastered Version,44.0,0.683,0.728,-8.92,1,0.259,0.568,0.0384,0.833,75.311,4.0,10.0,3.89
3939,Votum,Prey,27.0,0.569,0.893,-5.708,1,0.0623,0.0061,0.0861,0.254,137.96,4.0,8.0,5.50725
3940,Son of Stone,Give my regards,23.0,0.193,0.951,-3.282,0,0.173,0.102,0.146,0.0979,188.204,4.0,8.0,3.0198
3943,frown line,September,40.0,0.554,0.702,-5.704,1,0.0344,0.0934,0.334,0.741,216.091,4.0,1.0,2.9791666666666665
3944,Candye Kane,You Need Love,29.0,0.57,0.567,-7.958,0,0.0595,0.0458,0.205,0.806,155.153,4.0,2.0,4.104883333333333
3945,Jack Kays,MY HEAD :(,53.0,0.942,0.439,-8.519,1,0.0864,0.346,0.107,0.231,125.018,4.0,9.0,1.536
3946,Murcof,Dividing Space,20.0,0.0599,0.219,-16.775,0,0.0467,0.0283,0.11,0.0259,55.361,4.0,6.0,4.711333333333333
3947,Thousand Thoughts,Heads or Tails,31.0,0.419,0.917,-4.822,1,0.0676,0.000761,0.118,0.461,169.989,4.0,8.0,3.81745
3948,Weezer,Pork And Beans,47.0,0.599,0.626,-6.622,1,0.0339,0.0108,0.158,0.708,119.837,4.0,10.0,3.1566666666666667
3949,Britney Spears,Mood Ring (By Demand) - Pride Remix,44.0,0.612,0.818,-5.2,1,0.0298,0.000762,0.179,0.574,119.985,4.0,9.0,3.183633333
3950,Tyler Terrance,Fernweh,50.0,0.548,0.0988,-18.816,1,0.0714,0.994,0.112,0.231,147.367,4.0,7.0,3.546733333
3951,The Rolling Stones,Miss You - Remastered,69.0,0.795,0.71,-4.746,0,0.0392,0.443,0.344,0.845,109.689,4.0,10.0,4.811116666666667
3952,Smash Into Pieces,Wake Up,55.0,0.648,0.931,-3.299,0,0.0562,0.014,0.123,0.588,124.996,4.0,10.0,3.65605
3953,Led Zeppelin,Since I've Been Loving You - Remaster,63.0,0.393,0.364,-10.945,0,0.0345,0.0021,0.121,0.308,118.566,3.0,2.0,7.402466666666666
3954,Faith No More,From out of Nowhere,54.333333333333336,0.277,0.989,-5.37,0,0.077,0.00102,0.264,0.0862,161.178,4.0,10.0,3.3522166666666666
3955,John Mayer,Crossroads,49.0,0.894,0.507,-6.945,1,0.0564,0.221,0.0642,0.916,114.216,4.0,2.0,2.4897833333333335
3956,"Shafqat Amanat Ali, Shafqat Ali Khan",Shafqat with Shafqat (Lakh Jatan / Khamaj),30.0,0.299,0.437,-9.258,1,0.0334,0.88,0.11,0.38,160.084,4.0,0.0,7.35
3957,24kGoldn,CITY OF ANGELS,78.0,0.686,0.541,-4.993,0,0.0493,0.042,0.0675,0.724,120.082,4.0,9.0,1.8748833333333332
3958,Blur,Tender,62.0,0.587,0.566,-9.932,1,0.0276,0.47,0.0644,0.529,76.054,4.0,1.0,7.699116666666667
3959,Robert Johnson,Come On In My Kitchen,42.0,0.556,0.0643,-15.305,0,0.175,0.927,0.0991,0.283,81.673,4.0,2.0,2.871783333333333
3960,Buffalo Fuzz,Perfect Man,38.0,0.459,0.58,-9.7,1,0.0353,0.00872,0.124,0.185,128.789,4.0,8.0,5.421883333333334
3961,Green-House,Nocturnal Bloom,42.0,0.439,0.0193,-20.404,1,0.0326,0.925,0.111,0.192,60.053,4.0,6.0,4.866666666666666
3962,Chip,Every Gyal (feat. Mavado),33.0,0.542,0.827,-4.321,0,0.315,0.317,0.397,0.667,106.403,5.0,5.0,4.197116666666667
3963,Masego,Mystery Lady (feat. Don Toliver),76.0,0.747,0.494,-7.957,0,0.141,0.393,0.0982,0.624,76.006,4.0,5.0,3.80755
3964,Grace Davies,Amsterdam,54.0,0.44,0.293,-10.607,1,0.0439,0.799,0.0784,0.209,135.258,4.0,9.0,3.4797833333333332
3965,Martha Hill,Grilled Cheese,34.0,0.748,0.596,-5.49,1,0.0431,0.0262,0.0592,0.449,130.066,4.0,1.0,3.384333333333333
3966,Tafia,Break The Bank feat. Meek Mill,46.0,0.784,0.453,-11.458,0,0.351,0.0159,0.248,0.389,82.018,4.0,5.0,3.2317
3967,Cold,Quiet Now,42.0,0.547,0.812,-4.703,1,0.0326,0.0213,0.0855,0.383,117.976,4.0,10.0,4.24405
3968,Kelsy Karter,Love Me or Hate Me,45.0,0.479,0.937,-5.269,1,0.0521,0.00214,0.25,0.56,165.982,4.0,9.0,3.2831333333333332
3969,Ben Howard,Only Love,71.0,0.545,0.485,-9.941,1,0.151,0.3,0.119,0.341,80.401,4.0,9.0,4.1528833333333335
3970,Editors,Ocean of Night,54.0,0.567,0.666,-9.647,1,0.0298,0.0244,0.107,0.251,106.001,4.0,10.0,5.091483333333334
3971,Saxon,Princess of the Night,51.0,0.362,0.797,-8.824,0,0.0424,0.00328,0.0668,0.753,107.249,4.0,8.0,4.042883333333333
3972,50 Cent,How To Rob,49.0,0.774,0.676,-8.476,0,0.304,0.0575,0.169,0.791,96.984,4.0,5.0,4.405333333333333
3973,DreamDoll,Different - Freestyle,48.0,0.764,0.738,-6.293,1,0.354,0.0186,0.282,0.493,95.378,4.0,5.0,1.80115
3974,Vedo,You Got It - Remix,58.0,0.773,0.448,-7.593,1,0.189,0.188,0.179,0.49,121.96,4.0,5.0,4.089083333333333
3975,Marianas Rest,Pointless Tale,27.0,0.477,0.843,-7.448,0,0.0358,0.00429,0.0959,0.351,120.025,4.0,8.0,5.857183333333333
3976,Stone Temple Pilots,Interstate Love Song,72.0,0.215,0.927,-7.327,1,0.0452,0.000273,0.126,0.49,170.814,4.0,6.0,3.24755
3977,Mystery Jets,Two Doors Down,51.0,0.564,0.965,-3.17,0,0.0642,0.00912,0.0997,0.848,123.963,4.0,6.0,3.6502166666666667
3978,James Cotton,Play With Your Poodle,38.0,0.515,0.43,-10.912,1,0.25,0.81,0.126,0.624,165.888,4.0,2.0,3.65
3979,Brett Dennen,See the World,51.0,0.616,0.638,-7.981,1,0.0334,0.0245,0.296,0.507,89.989,4.0,1.0,4.298216666666667
3980,Mrigya,Ganga,14.0,0.381,0.738,-7.783,1,0.0573,0.295,0.393,0.538,166.037,4.0,0.0,5.588666667
3981,Freeds,Fruit Bats,42.0,0.897,0.466,-10.18,1,0.0478,0.556,0.119,0.522,104.944,4.0,6.0,2.921883333333333
3982,Lil Mosey,Enough,66.0,0.739,0.338,-11.224,1,0.0412,0.598,0.105,0.401,100.996,4.0,5.0,2.6661
3983,Palmiyeler,Karbeyaz,42.0,0.674,0.63,-5.475,0,0.0253,0.52,0.0934,0.714,97.033,4.0,10.0,4.044833333333333
3984,TV On The Radio,Happy Idiot,60.0,0.617,0.948,-4.236,0,0.0621,0.00226,0.0755,0.863,139.996,4.0,6.0,3.0500333333333334
3985,Pat Benatar,Hit Me With Your Best Shot,71.0,0.741,0.58,-9.05,1,0.0304,0.117,0.212,0.944,127.402,4.0,10.0,2.85445
3986,Bumpin Uglies,Serotonin,41.0,0.684,0.788,-5.627,1,0.0424,0.0311,0.0632,0.793,83.011,4.0,10.0,3.0228333333333333
3987,Metallica,Master Of Puppets,74.0,0.543,0.836,-9.11,0,0.0353,0.000647,0.153,0.56,105.173,4.0,8.0,8.589783333333333
3988,The Outfield,Your Love,72.0,0.555,0.757,-7.868,0,0.0601,0.103,0.0631,0.582,129.607,4.0,10.0,3.6973333333333334
3989,Wolfmother,Joker And The Thief,64.0,0.264,0.8,-2.427,1,0.0537,0.0195,0.406,0.465,155.558,4.0,10.0,4.661116666666667
3990,Sugar Ray,Someday - Remastered,60.0,0.743,0.67,-4.547,0,0.0293,0.0108,0.22,0.934,110.832,4.0,10.0,4.05555
3991,fanclubwallet,What's Up,51.0,0.618,0.684,-6.163,1,0.039,0.117,0.273,0.823,170.029,4.0,6.0,2.3625
3992,"Blood, Sweat & Tears",More and More - Live at Woodstock,23.0,0.442,0.634,-14.148,0,0.223,0.207,0.655,0.69,135.48,4.0,10.0,3.0808833333333334
3993,Glass Animals,Heat Waves,84.0,0.761,0.525,-6.9,1,0.0944,0.44,0.0921,0.531,80.87,4.0,9.0,3.9800833333333334
3994,Lata Mangeshkar,Yeh Dil Ki Lagi Kya Hogi,4.0,0.502,0.318,-8.763,1,0.0493,0.995,0.498,0.816,105.436,3.0,3.0,3.38895
3995,Chet Faker,Whatever Tomorrow,63.0,0.4,0.506,-8.078,1,0.0412,0.14,0.129,0.248,165.155,4.0,6.0,4.396966666666667
3996,Tiamat,Whatever That Hurts,36.0,0.271,0.707,-10.531,1,0.0492,0.0216,0.318,0.108,137.106,4.0,8.0,5.768883333333333
3997,Filmore,Who Cares,66.0,0.583,0.828,-4.768,1,0.0539,0.25,0.512,0.765,95.035,4.0,4.0,2.974366667
3998,"Shakir Khan, Aarya Ambekar",Bairan,20.0,0.591,0.452,-11.248,0,0.0383,0.867,0.0831,0.18,140.077,4.0,0.0,5.028566667
3999,Sarcoptes,The Vertigo Soul,19.0,0.247,0.961,-6.027,0,0.169,1.88e-06,0.186,0.0386,135.987,4.0,8.0,6.79355
4000,Somehow Jo,The Grey,31.0,0.579,0.899,-5.431,1,0.0402,0.00703,0.125,0.589,100.034,4.0,8.0,3.929
4001,AFI,Snow Cats,43.0,0.294,0.775,-4.271,0,0.0454,0.00291,0.254,0.471,131.092,3.0,10.0,3.3486666666666665
4002,Avalanche,Maja Lena,43.0,0.415,0.355,-10.494,0,0.0316,0.985,0.103,0.36,113.993,4.0,0.0,2.98845
4003,IRONTOM,Big Shot,45.0,0.504,0.938,-2.696,0,0.0583,0.00743,0.0741,0.612,145.91,4.0,10.0,3.67545
4004,Ivy Sole,HEAVY,42.0,0.538,0.768,-6.41,1,0.182,0.225,0.639,0.619,142.067,4.0,5.0,4.8475
4005,Simple Minds,Kick It In - Remastered 2002,33.0,0.552,0.828,-6.047,0,0.053,0.0276,0.0972,0.352,130.032,4.0,10.0,6.18733333
4006,Giant Rooks,Wild Stare,50.0,0.646,0.82,-3.618,0,0.0521,0.026,0.191,0.438,128.061,4.0,10.0,3.2413333333333334
4007,Spare Parts For Broken Hearts,Big Win,24.0,0.491,0.71,-9.06,1,0.0307,0.000981,0.228,0.418,122.003,4.0,10.0,3.4281166666666665
4008,Creedence Clearwater Revival,Fortunate Son,82.0,0.64,0.663,-7.516,1,0.0374,0.201,0.152,0.663,132.77,4.0,1.0,2.346216666666667
4009,Rise Against,"Broken Dreams, Inc. - HEALTH Remix",45.0,0.247,0.833,-5.086,1,0.0706,0.0272,0.215,0.228,165.995,4.0,1.0,4.580416666666666
4010,Mister Misery,Ballad of the Headless Horseman,36.0,0.301,0.822,-6.918,1,0.0579,8.8e-06,0.115,0.254,175.085,4.0,8.0,4.6
4011,Bruce Springsteen,The River,67.0,0.587,0.536,-11.248,1,0.0304,0.179,0.305,0.59,117.498,4.0,10.0,5.025783333333333
4012,Sunflower Bean,Moment In The Sun,41.0,0.687,0.63,-5.13,1,0.031,0.0576,0.257,0.548,115.986,4.0,6.0,3.1605833333333333
4013,2KBABY,Great White,52.0,0.829,0.555,-6.512,0,0.342,0.0943,0.183,0.399,129.911,4.0,5.0,1.8564666666666667
4015,Obituary,Redneck Stomp,51.0,0.245,0.861,-8.728,1,0.0415,0.000256,0.216,0.483,91.056,4.0,8.0,3.5473333333333334
4016,The Rolling Stones,Wild Horses - 2009 Mix,70.0,0.432,0.389,-6.517,1,0.0255,0.687,0.0788,0.158,139.506,4.0,10.0,5.69621667
4017,"John Prine, The Secret Sisters","I Just Called to Say I Love You - Recorded at RCA Studio A, Nashville",48.0,0.477,0.297,-13.955,1,0.0328,0.664,0.103,0.455,137.067,4.0,0.0,4.11836667
4018,Nathan Day,She Came Down From The Stars,48.0,0.487,0.766,-7.596,1,0.0377,0.0027,0.219,0.574,155.081,4.0,10.0,3.6129
4019,Dafnis Prieto Sextet,Amanecer Contigo,34.0,0.528,0.7,-9.43,1,0.0305,0.522,0.122,0.672,126.214,4.0,7.0,6.351016667
4020,The Goo Goo Dolls,Miracle Pill,49.0,0.503,0.727,-3.256,1,0.0257,0.0487,0.128,0.717,160.043,4.0,10.0,3.2994666666666665
4021,RETRIEVER,Weekend Spiders,32.0,0.66,0.418,-13.686,0,0.0325,0.0742,0.0725,0.577,92.998,4.0,6.0,4.184183333333333
4022,Tribute Trio,I Remember Clifford,41.0,0.533,0.244,-16.662,0,0.0399,0.922,0.163,0.166,118.732,4.0,7.0,4.960066667
4023,Hot Chip,Straight To The Morning - Myd Remix,53.0,0.819,0.829,-7.571,0,0.177,0.0852,0.0753,0.864,115.995,4.0,6.0,3.44295
4024,Pearl Jam,Alive,75.0,0.284,0.875,-6.069,0,0.0422,0.00752,0.402,0.595,75.009,4.0,6.0,5.681783333333334
4025,King Gizzard & The Lizard Wizard,Sense,46.0,0.535,0.605,-9.144,0,0.287,0.51,0.188,0.662,202.06,4.0,1.0,3.510883333333333
4026,Mondo Generator,"So High, So Low",34.0,0.538,0.863,-6.123,0,0.139,0.00495,0.314,0.606,127.618,4.0,10.0,2.58445
4027,Belle Mt.,Hollow (Acoustic),43.333333333333336,0.499,0.229,-9.642,1,0.0361,0.822,0.0914,0.239,178.461,3.0,0.0,3.94363333
4028,Tim McGraw,Something Like That,68.0,0.507,0.85,-5.679,1,0.0472,0.378,0.0567,0.847,171.8,4.0,4.0,3.062216667
4029,"Lata Mangeshkar, S. P. Balasubrahmanyam",Aate Jaate Hanste Gaate,31.0,0.546,0.436,-11.929,1,0.0353,0.667,0.337,0.466,120.644,4.0,3.0,3.406
4030,Mastodon,Show Yourself,54.0,0.468,0.977,-4.198,1,0.0645,4.99e-06,0.0543,0.493,134.996,4.0,8.0,3.048216666666667
4031,Kiasmos,Blurred - Sven Helbig Rework,42.0,0.0855,0.122,-18.526,1,0.0436,0.946,0.134,0.0372,85.44,4.0,1.0,4.74365
4032,Alice In Chains,Heaven Beside You,62.0,0.551,0.724,-7.09,0,0.032,0.00451,0.116,0.559,111.243,4.0,10.0,5.464883333333334
4033,Twin Wild,My Heart,29.0,0.48,0.905,-3.851,1,0.0896,0.000197,0.29,0.295,95.055,4.0,10.0,3.7841
4034,Jørgen Emborg,On The Second Day,46.0,0.524,0.608,-10.14,0,0.0356,0.235,0.0595,0.633,115.161,4.0,7.0,4.546583333
4035,girl in red,Rue,68.0,0.579,0.77,-9.163,0,0.0586,0.12,0.172,0.275,125.011,4.0,6.0,3.6138666666666666
4036,Billie Eilish,Therefore I Am,88.0,0.889,0.34,-7.773,0,0.0697,0.218,0.055,0.716,94.009,4.0,9.0,2.90535
4037,BENEE,Supalonely,79.0,0.863,0.631,-4.689,1,0.0534,0.305,0.123,0.817,128.977,4.0,9.0,3.724666666666667
4038,Arctic Monkeys,When The Sun Goes Down,73.0,0.348,0.875,-4.758,0,0.199,0.0341,0.117,0.407,169.152,4.0,6.0,3.3688833333333332
4039,Damien Jurado,Lincoln,22.0,0.494,0.139,-14.209,1,0.043,0.925,0.143,0.16,136.024,4.0,1.0,3.152
4040,Aldous Harding,Horizon,51.0,0.406,0.0949,-11.713,1,0.0454,0.878,0.122,0.236,119.199,4.0,6.0,4.152283333333333
4041,Ray Alder,What The Water Wanted,30.0,0.532,0.876,-5.933,1,0.0344,0.00103,0.322,0.32,98.012,4.0,10.0,3.76985
4042,Vivian Lobo,I Love You,15.0,0.62,0.573,-10.286,1,0.0423,0.939,0.102,0.872,86.059,4.0,3.0,3.156666667
4043,Westlife,Miss You,2.0,0.491,0.627,-6.207,1,0.0255,0.436,0.264,0.402,78.047,4.0,9.0,3.88155
4044,Them,Gloria - Stereo Version,62.0,0.641,0.703,-10.434,1,0.0518,0.397,0.104,0.722,129.118,4.0,6.0,2.6133333333333333
4045,LOUDNESS,Lost Without Your Love,33.0,0.492,0.565,-13.952,0,0.0277,0.0617,0.193,0.309,136.135,4.0,10.0,4.93955
4046,Uzi Ramirez,Cheese in My Pocket,10.0,0.573,0.709,-7.163,0,0.0318,0.118,0.241,0.574,119.114,4.0,6.0,3.854983333333333
4047,YoungBoy Never Broke Again,I Ain't Scared,65.0,0.663,0.557,-7.954,1,0.0811,0.301,0.137,0.584,154.099,4.0,5.0,2.7080166666666665
4048,Alexa Rose,Clearwater Park,20.0,0.322,0.277,-9.685,1,0.0317,0.919,0.0888,0.17,132.013,3.0,6.0,4.8543666666666665
4049,JESSIA,I'm not Pretty,66.0,0.645,0.544,-6.202,1,0.335,0.112,0.068,0.867,74.88,4.0,9.0,1.9733333333333334
4050,Sylvan Esso,Ferris Wheel,57.0,0.836,0.74,-4.77,0,0.057,0.0622,0.121,0.445,101.986,4.0,6.0,2.965333333333333
4051,J. Cole,i n t e r l u d e,81.0,0.77,0.574,-5.525,1,0.106,0.0617,0.104,0.104,98.962,3.0,5.0,2.217033333333333
4052,Fiendz YT,Speed in My Coffee,18.0,0.547,0.884,-5.676,0,0.064,0.00354,0.408,0.356,89.987,4.0,6.0,3.43555
4053,Disturbed,The Sound of Silence,73.0,0.322,0.28,-9.367,0,0.0281,0.468,0.102,0.175,85.794,4.0,8.0,4.141116666666667
4054,Public Image Ltd.,Rise,52.0,0.533,0.739,-9.361,1,0.0561,0.00299,0.475,0.636,86.345,4.0,1.0,6.306216666666667
4055,HARDY,GIVE HEAVEN SOME HELL,64.0,0.639,0.843,-4.975,1,0.0362,0.0525,0.0854,0.528,126.047,4.0,10.0,3.6300333333333334
4056,Sufjan Stevens,To Be Alone With You,61.0,0.519,0.163,-18.131,0,0.0489,0.926,0.115,0.356,142.116,4.0,6.0,2.800666666666667
4057,Anvil,Nabbed in Nebraska,29.0,0.53,0.946,-4.387,0,0.126,0.000105,0.328,0.369,120.006,4.0,8.0,4.558
4058,Luke Combs,The Great Divide,66.0,0.671,0.686,-8.269,0,0.0271,0.597,0.283,0.547,111.007,4.0,1.0,3.533166666666667
4059,Metal Church,Start the Fire,34.0,0.524,0.752,-14.268,1,0.0412,3.5e-05,0.305,0.515,148.699,4.0,8.0,3.7613333333333334
4060,The Ghost Inside,Aftermath,53.0,0.298,0.953,-3.334,0,0.192,0.000375,0.1,0.127,172.023,4.0,8.0,4.980433333333333
4061,KALI,I Just Wanna,46.0,0.693,0.586,-5.59,0,0.0361,0.147,0.111,0.51,108.579,4.0,6.0,4.239983333333333
4062,42 Dugg,Maybach (feat. Future),21.0,0.506,0.473,-9.79,1,0.331,0.0229,0.15,0.199,100.535,5.0,5.0,3.3181
4063,Jimmy Eat World,Pain,40.0,0.393,0.964,-3.363,0,0.0936,0.019,0.58,0.255,168.016,4.0,10.0,3.0217833333333335
